id,long,lat
1,-46.63204506598758,-23.544100285078514
2,-46.63278705891655,-23.54825092245447
3,-46.633212870417346,-23.5484252630258
4,-46.607260902693255,-23.59771360353663
5,-46.66394403386473,-23.556775238087518
6,-46.57465691406712,-23.597089726460435
7,-46.623755400418595,-23.563665183792736
8,-46.62310389285146,-23.575109162347008
9,-46.623487327836315,-23.5767839706719
10,-46.62348566249278,-23.57531055671406
11,-46.62370557530961,-23.568939063552644
12,-46.63243915861728,-23.56329948223728
13,-46.63224732490979,-23.55165315487958
14,-46.62965873647598,-23.550076749186037
15,-46.632282616135505,-23.54335418432794
16,-46.63212091504849,-23.555500310051162
17,-46.63183420614174,-23.547388276814022
18,-46.63330499062658,-23.555375611637736
19,-46.631529059256046,-23.558048275613665
20,-46.63112469929239,-23.549231200500245
21,-46.60716603678008,-23.57694569960521
22,-46.60695599113474,-23.593275194626322
23,-46.605999479730414,-23.578562249377747
24,-46.66081961309524,-23.543858898415156
25,-46.66237653147325,-23.542025545513383
26,-46.653870661948346,-23.559070665788283
27,-46.662896807511885,-23.56868708168386
28,-46.65519067045003,-23.570747241019696
29,-46.66358719663725,-23.563309927043548
30,-46.65917765936243,-23.560949691548544
31,-46.65154027113217,-23.54384820456586
32,-46.66244939255966,-23.57573825693986
33,-46.575523772191225,-23.600195950851205
34,-46.57672844583246,-23.589661760075384
35,-46.57561590735325,-23.586971387753046
36,-46.57393744290936,-23.58727158250072
