ID;Ultima manutenção;REGIAO;DISTRITO;BAIRRO;TIPO;END;ULTIMAVISTORIA;VAZAO;SITUACAO;LAT;LONG;PROCESSO2014;DATAEXTRACAO;SABESP_POLOMANUT;SABESP_UGR;SABESP_UN
472;01/08/2022;SUL;CURSINO;JARDIM DA SAÚDE;SUBTERRANEO;AVENIDA BOSQUE DA SAUDE ESQUINA COM A RUA MANOEL COELHO DA SILVA;2022-05-09;EXCELENTE;POSSIVEL DE USO;-23.6130899875507;-46.6200163157715;0;2022-07-28;SÉ;IPIRANGA;CENTRO
485;01/08/2022;SUL;CURSINO;VILA GUMERCINDO;SUBTERRANEO;RUA ADIB MIGUEL HADDAD ESQUINA COM A RUA MANOEL DA MOTA;2021-12-22;MÉDIA;POSSIVEL DE USO;-23.5983570756733;-46.6194130623932;0;2022-07-28;SÉ;IPIRANGA;CENTRO
607;01/08/2022;LESTE;PARI;PARI;SUBTERRANEO;RUA CARNOT ESQUINA COM A RUA CAMOMIL;2022-01-02;;NÃO LOCALIZADO;-23.5304905443275;-46.6219347343032;0;2022-07-28;SÉ;IPIRANGA;CENTRO
799;01/08/2022;LESTE;PARI;PARI;SUBTERRANEO;RUA THIERS ESQUINA COM A RUA ITAQUI;2022-01-02;MÉDIA;POSSIVEL DE USO;-23.5287459687233;-46.6196844869274;0;2022-07-28;SÉ;IPIRANGA;CENTRO
800;01/08/2022;CENTRO;BOM RETIRO;LUZ;SUBTERRANEO;RUA TRES RIOS ESQUINA COM A RUA CORREIA DE MELO;2021-11-22;EXCELENTE;POSSIVEL DE USO;-23.5290911626149;-46.6370022667089;0;2022-07-28;SÉ;IPIRANGA;CENTRO
801;01/08/2022;CENTRO;BOM RETIRO;LUZ;SUBTERRANEO;RUA TRES RIOS ESQUINA COM A RUA PRATES;2022-04-11;MÉDIA;POSSIVEL DE USO;-23.5294203645614;-46.6357278608295;0;2022-07-28;SÉ;IPIRANGA;CENTRO
804;01/08/2022;LESTE;PARI;PARI;SUBTERRANEO;RUA VIDAL NEGREIROS ESQUINA COM A RUA MADEIRA;2022-01-02;SECO;INOPERANTE;-23.5293889467652;-46.6236679251232;0;2022-07-28;SÉ;IPIRANGA;CENTRO
896;01/08/2022;OESTE;VILA LEOPOLDINA;CEASA;COLUNA;AVENIDA MANUEL BANDEIRA ESQUINA COM AVENIDA JOSE CESAR DE OLIVEIRA;2022-06-08;EXCELENTE;POSSIVEL DE USO;-23.5401394939967;-46.7327658199786;0;2022-07-28;LAPA;JARDINS;CENTRO
1211;01/08/2022;OESTE;JAGUARÉ;PARQUE CONTINENTAL;SUBTERRANEO;RUA ATERARIS ESQUINA COM A RUA ARGIRITO;2022-03-25;MÉDIA;POSSIVEL DE USO;-23.5508375140572;-46.7444273661849;0;2022-07-28;BUTANTA;BUTANTÃ;OESTE
1241;01/08/2022;OESTE;VILA SÔNIA;JARDIM MARIA DO CARMO;COLUNA;RUA JULIETA ESPIRITO SANTO PINHEIRO 30 PROXIMO A ESQUINA DA RUA BERNARDO DOS SANTOS;2022-05-27;EXCELENTE;INOPERANTE;-23.5870225593613;-46.7491379801472;1;2022-07-28;BUTANTA;BUTANTÃ;OESTE
1460;01/08/2022;LESTE;MOOCA;PARQUE DA MOOCA;SUBTERRANEO;RUA JUMANA ESQUINA COM A RUA CONDE PRATES;2022-03-10;SECO;INOPERANTE;-23.5664750628531;-46.5987779128208;0;2022-07-28;MOOCA;MOÓCA;CENTRO
1743;01/08/2022;LESTE;PARI;CANINDÉ;COLUNA;AVENIDA CRUZEIRO DO SUL 190;2022-05-09;SECO;INOPERANTE;-23.5289791493567;-46.6251847104431;1;2022-07-28;SÉ;IPIRANGA;CENTRO
1895;01/08/2022;SUL;IPIRANGA;VILA INDEPENDÊNCIA;SUBTERRANEO;RUA DO MANIFESTO ESQUINA COM A RUA LEAIS PAULISTANOS;2022-02-03;FRACA;POSSIVEL DE USO;-23.577911955747;-46.6022488374625;1;2022-07-28;SÉ;IPIRANGA;CENTRO
1925;01/08/2022;LESTE;BRÁS;BRÁS;SUBTERRANEO;RUA MELO BARRETO DEFRONTE A RUA ESCOLA TECNICA DE AVIACAO;2022-03-13;MÉDIA;INOPERANTE;-23.5477759911821;-46.620159591457;0;2022-07-28;SÉ;IPIRANGA;CENTRO
2035;01/08/2022;SUL;IPIRANGA;VILA SÃO JOSÉ;COLUNA;AVENIDA NAZARE 301;2022-04-06;FRACA;POSSIVEL DE USO;-23.5865689433115;-46.6105075545574;1;2022-07-28;SÉ;IPIRANGA;CENTRO
2054;01/08/2022;CENTRO;BOM RETIRO;LUZ;SUBTERRANEO;RUA JOAO TEODORO ESQUINA COM A RUA PEDRO ALVARES CABRAL;2022-04-25;SECO;INOPERANTE;-23.5343182623121;-46.6256971326382;0;2022-07-28;SÉ;IPIRANGA;CENTRO
2113;01/08/2022;OESTE;BUTANTÃ;JARDIM BONFIGLIOLI;SUBTERRANEO;RUA MINISTRO ADAUTO LUCIO CARDOSO ESQUINA COM A RUA ENGENHEIRO DACIO AGUIAR DE MORAES;2021-12-28;;NÃO LOCALIZADO;-23.5751277258501;-46.7387822676552;0;2022-07-28;BUTANTA;BUTANTÃ;OESTE
2122;01/08/2022;CENTRO;CAMBUCI;INDEPENDÊNCIA;SUBTERRANEO;RUA DA INDEPENDENCIA ESQUINA COM A RUA JOSE BENTO;2022-02-24;EXCELENTE;POSSIVEL DE USO;-23.5663757338186;-46.6181292947548;0;2022-07-28;SÉ;IPIRANGA;CENTRO
2127;01/08/2022;OESTE;VILA SÔNIA;VILA SÔNIA;SUBTERRANEO;AVENIDA PROFESSOR FRANCISCO MORATO PROXIMO DA ESQUINA DA RUA MANOEL JACINTO;2022-04-17;SECO;INOPERANTE;-23.5890248460755;-46.7283945967957;0;2022-07-28;BUTANTA;BUTANTÃ;OESTE
2128;01/08/2022;LESTE;BRÁS;BRÁS;SUBTERRANEO;RUA CORONEL BENTO PIRES ESQUINA COM A RUA CARNEIRO LEAO;2022-03-25;MÉDIA;POSSIVEL DE USO;-23.5529978680209;-46.6226639170176;0;2022-07-28;SÉ;IPIRANGA;CENTRO
2134;01/08/2022;CENTRO;CAMBUCI;INDEPENDÊNCIA;SUBTERRANEO;RUA ANTONIO DE SA ESQUINA COM A AVENIDA DO ESTADO;2022-03-19;SECO;INOPERANTE;-23.5544397707277;-46.6252525943689;0;2022-07-28;SÉ;IPIRANGA;CENTRO
2148;01/08/2022;OESTE;VILA SÔNIA;JARDIM JUSSARA;SUBTERRANEO;RUA DR. LUIS MIGLIANO PROXIMO A RUA DAVID ROMERO PARE;2022-03-14;;NÃO LOCALIZADO;-23.6133697495966;-46.7427662270198;0;2022-07-28;PIRAJUSSARA;BUTANTÃ;OESTE
